S_casa,S_trasferta,Gol_casa,Gol_trasferta,MarC1,MarC2,MarC3,MarC4,MarC5,MarT1,MarT2,MarT3,MarT4,MarT5,AssC1,AssC2,AssC3,AssC4,AssC5,AssT1,AssT2,AssT3,AssT4,AssT5,TitC1,TitC2,TitC3,TitC4,TitC5,TitC6,TitC7,TitC8,TitC9,TitC10,TitC11,TitT1,TitT2,TitT3,TitT4,TitT5,TitT6,TitT7,TitT8,TitT9,TitT10,TitT11,SC1,SC2,SC3,ST1,ST2,ST3
Fiorentina,Juventus,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napoli,Sampdoria,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inter,Udinese,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genoa,Atalanta,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brescia,Bologna,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parma,Cagliari,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spal,Lazio,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma,Sassuolo,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verona,Milan,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torino,Lecce,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
