S_casa,S_trasferta,Gol_casa,Gol_trasferta,MarC1,MarC2,MarC3,MarC4,MarC5,MarT1,MarT2,MarT3,MarT4,MarT5,AssC1,AssC2,AssC3,AssC4,AssC5,AssT1,AssT2,AssT3,AssT4,AssT5,TitC1,TitC2,TitC3,TitC4,TitC5,TitC6,TitC7,TitC8,TitC9,TitC10,TitC11,TitT1,TitT2,TitT3,TitT4,TitT5,TitT6,TitT7,TitT8,TitT9,TitT10,TitT11,SC1,SC2,SC3,ST1,ST2,ST3
Atalanta,Torino,2,3,Zapata,Zapata,,,,Bonifazi,Berenguer,Izzo,,,Pasalic,Gomez,,,,Baselli,Meite,Basellli,,,Gollini,Toloi,Djimsiti,Masiello,Hateboer,de Roon,Pasalic,Gosens,Gomez,Zapata,Ilicic,Sirigu,Izzo,Djidji,Bonifazi,Aina,Rincon,Baselli,De Silvestri,Meite,Berenguer,Belotti,Arana,Malinovsky,Muriel,Laxalt,Lukic,
Cagliari,Inter,1,2,Joao Pedro,,,,,Martinez,Lukaku,,,,Nandez,,,,,Sensi,,,,,Olsen,Pisacane,Ceppitelli,Klavan,Nandez,Rog,Nainggolan,Ionita,Pellegrini,Joao Pedro,Cerri,Handanovic,D'Ambrosio,Ranocchia,Skriniar,Candreva,Vecino,Brozovic,Sensi,Asamoah,Lukaku,Martinez,Castro,Cigarini,Simeone,Politano,Godin,Barella
Genoa,Fiorentina,2,1,Zapata,Kouame,,,,Pulgar,,,,,Ghiglione,Radu,,,,,,,,,Radu,Romero,Zapata,Criscito,Ghiglione,Radovanovic,Schone,Barreca,Lerager,Pinamonti,Kouame,Dragowski,Lirola,Milenkovic,Pezzella,Ranieri,Pulgar,Badelj,Castrovilli,Sottil,Boateng,Chiesa,Pajac,Pandev,Romulo,Dalbert,Ribery,Vlahovic
Lazio,Roma,1,1,Luis Alberto,,,,,Kolarov,,,,,Immobile,,,,,,,,,,Strakosha,Luiz Felipe,Acerbi,Radu,Lazzari,Milinkovic-Savic,Lucas Leiva,Luis Alberto,Lulic,Immobile,Correa,Lopez,Florenzi,Mancini,Fazio,Kolarov,Cristante,Pellegrini,Kluivert,Zaniolo,Under,Dzeko,Bastos,Jony,Parolo,Diawara,Pastore,Santon
Lecce,Verona,0,1,,,,,,Pessina,,,,,,,,,,Zaccagni,,,,,Gabriel,Benzar,Lucioni,Rossettini,Dell'Orco,Majer,Tachtsidis,Shaklov,Mancosu,Lapadula,Falco,Silvestri,Rrahmani,Kumbulla,Gunter,Faraoni,Amrabat,Veloso,Lazovic,Henderson,Tutino,Zaccagni,Calderoni,La Mantia,Rispoli,Bocchetti,Pessina,Verre
Sassuolo,Sampdoria,4,1,Berardi,Berardi,Berardi,Traore,,Quagliarella,,,,,Caputo,Duncan,Duncan,Muldur,,,,,,,Consigli,Muldur,Marlon,Ferrari,Peluso,Duncan,Obiang,Locatelli,Traore,Caputo,Berardi,Audero,Bereszynski,Murillo,Colley,Murru,Vieira,Ekdal,Jankto,Ramirez,Quagliarella,Leris,Boga,Djuricic,Mazzitelli,Barreto,Caprari,Ferrari
Udinese,Parma,1,3,Lasagna,,,,,Gervinho,Gagliolo,Inglese,,,,,,,,Kulusevski,Gervinho,Kulusevski,,,Musso,Becao,Samir,Troost-Ekong,Stryger Larsen,Mandragora,Jajalo,De Paul,Sema,Nestorovski,Lasagna,Sepe,Laurini,Iacoponi,Alves,Gagliolo,Grassi,Hernani,Barilla,Kulusevski,Inglese,Gervinho,Fofana,Pussetto,Teodorczyk,Cornelius,Kucka,Pezzella
Bologna,Spal,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milan,Brescia,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juventus,Napoli,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
