S_casa,S_trasferta,Gol_casa,Gol_trasferta,MarC1,MarC2,MarC3,MarC4,MarC5,MarT1,MarT2,MarT3,MarT4,MarT5,AssC1,AssC2,AssC3,AssC4,AssC5,AssT1,AssT2,AssT3,AssT4,AssT5,TitC1,TitC2,TitC3,TitC4,TitC5,TitC6,TitC7,TitC8,TitC9,TitC10,TitC11,TitT1,TitT2,TitT3,TitT4,TitT5,TitT6,TitT7,TitT8,TitT9,TitT10,TitT11,SC1,SC2,SC3,ST1,ST2,ST3
Caglairi,Brescia,0,1,,,,,,Donnarumma,,,,,,,,,,,,,,,Rafael,Pinna,Ceppitelli,Klavan,Lykogiannis,Nandez,Nainggolan,Ionita,Birsa,Joao Pedro,Pavoletti,Joronen,Sabelli,Cistana,Chancellor,Martella,Tonali,Dessena,Bisoli,Spalek,Donnarumma,Aye,Castro,Cerri,Ragatzu,Zmrhal,Gastaldello,
Fiorentina,Napoli,3,4,Pulgar,Milenkovic,Boateng,,,Mertens,Insigne,Callejon,Insigne,,Pulgar,Castrovilli,,,,Insigne,Insigne,Callejon,,,Dragowski,Lirola,Pezzella,Milenkovic,Venuti,Pulgar,Badelj,Castrovili,Sottil,Vlahovic,Chiesa,Meret,Manolas,Koulibaly,Rui,Di Lorenzo,Allan,Zielinski,Insigne,Callejon,Ruiz,Mertens,Benassi,Boateng,Ribery,Elmas,Ghoulam,Hysaj
Hellas Verona,Bologna,1,1,Veloso,,,,,Sansone,,,,,,,,,,,,,,,Silvestri,Rrahamani,Dawidowicz,Kumbulla,Faraoni,Handerson,Veloso,Lazovic,Zaccagni,Verre,Tutino,Skorupski,Dijks,Denswil,Danilo,Tomyasu,Kingsley,Poli,Sansone,Soriano,Orsolini,Palacio,Amrabat,Bocchetti,Gunter,Destro,Dzemaili,Santander
Inter,Lecce,4,0,Brozovic,Sensi,Lukaku,Candreva,,,,,,,Asamoah,Vecino,Candreva,,,Falco,,,,,Handanovic,D'Ambrosio,Ranocchia,Skriniar,Candreva,Vecino,Brozovic,Sensi,Asamoah,Lukaku,Martinez,Gabriel,Calderoni,Lucioni,Rossettini,Rispoli,Majer,Tachtsidis,Petriccione,Falco,La Mantia,Lapadula,Barella,Gagliardini,Bastoni,Benzer,Farias,Mancosu
Parma,Juventus,0,1,,,,,,Chiellini,,,,,Alex Sandro,,,,,,,,,,Sepe,Gagliolo,Alves,Iacoponi,Laurini,Hernani,Brugman,Barilla,Kulusevski,Inglese,Gervinho,Szczesny,De sciglio,Bonucci,Chiellini,Alex Sandro,Khedira,Pjanic,Matuidi,Costa,Higuain,Ronaldo,Grassi,Karamoh,Siligardi,Bernardeschi,Cuadrado,Rabiot
Roma,Genoa,3,3,Under,Dzeko,Kolarov,,,Pinamonti,Criscito,Koume,,,Dzeko,Cristante,,,,Romero,Ghiglione,,,,Lopez,Florenzi,Fazio,Jesus,Kolarov,Cristante,Pellegrini,Under,Zaniolo,Kluivert,Dzeko,Radu,Romero,Zapata,Criscito,Ghiglione,Lerager,Schone,Radovanovic,Barreca,Koume,Pinamonti,Mancini,Pastore,Zappacosta,Pandev,EL Yamiq,Sanabria
Sampdoria,Lazio,0,3,,,,,,Immobile,Immobile,Correa,,,,,,,,Luis Alberto,Luis Alberto,,,,Audero,Bereszynski,Murillo,Colley,Murru,Vieira,Ekdal,Linetty,Gabbiadini,Caprari,Quagliarella,Strakosha,Luiz Felipe,Acerbi,Radu,Lazzari,Milinkovic-Savic,Parolo,Luis Albero,Lulic,Immobile,Correa,Bonazzoli,Jankto,Leris,Cataldi,Marusic,Vavro
Spal,Atalanta,2,3,DI Francesco,Petagna,,,,Gosens,Muriel,Muriel,,,Petagna,Igor,,,,Hateboer,Gomez,,,,Berisha,Felipe,Cionek,Vicari,D'Alessandro,Kurtic,Valoti,Missiroli,Igor,Di Francesco,Petagna,Gollini,Djimsiti,Palomino,Masiello,Hateboer,de Roon,Freuler,Pasalic,Gosens,Gomez,Zapata,Floccari,Murgia,Tomovic,Malinovsky,Toloi,Muriel
Torino,Sassuolo,2,1,Zaza,Belotti,,,,Caputo,,,,,Ansaldi,Lukic,,,,,,,,,Sirigu,Bonifazi,Bremer,Izzo,De Silvestri,Baselli,Rincon,Lukic,Ansaldi,Zaza,Belotti,Consigli,Toljan,Marlon,Ferrari,Rogerio,Traore,Locatelli,Obiang,Bourabia,Boga,Caputo,Aina,Djidji,Meite,Muldur,Peluso,Raspadori
Udinese,Milan,1,0,Becao,,,,,,,,,,De Paul,,,,,,,,,,Musso,Becao,Troost-Ekong,Samir,Stryger Larsen,Mandragora,Jajalo,Pezzella,Pussetto,Fofana,Lasagna,Donnarumma,Calabria,Musacchio,Romagnoli,Rodriguez,Borini,Paqueta,Calhanoglu,Suso,Piantek,Castillejo,De Paul,Nestorovski,Sema,Bennacer,Kessie,Leao
